id,source,destination,shortest path length,diversion path length,sample time,target id
veh665,18130190,31140601,655.082,669.932,16278,34168007
veh666,109709,cluster_1062133810_10676801,582.286,676.936,16029,703524044
veh667,27511134,1826845435,760.322,827.958,16299,703524044
veh668,707917289,282717,558.316,675.744,15941,338575323
veh669,cluster_5954974013_5954974014,108558,706.154,721.004,16349,34168007
veh670,5196231076,5213494410,727.669,781.645,16369,34168007
veh671,109717,108474,649.649,664.499,16271,34168007
veh672,1188912856,108631,750.438,806.267,16120,703524044
veh673,26389346,371588293,686.655,754.291,16329,703524044
veh674,364653499,5831128355,629.139,696.775,16239,703524044
veh675,37885072,25454960,642.902,679.808,16417,703524044
veh676,37884357,1770308190,656.122,723.758,16338,703524044
veh677,1685947983,5581601206,717.071,784.707,16332,703524044
veh678,2151178949,198274,717.963,771.939,16374,34168007
veh679,cluster_108308_1231977922,317713873,572.539,603.312,16119,34168007
veh680,18129852,34226047,789.684,804.534,16634,34168007
veh681,37868246,5659854218,676.109,743.745,16420,703524044
veh682,1691695906,108594,697.136,764.772,16241,703524044
veh683,cluster_2322273086_2322273094_2322284839_2322284842_2322284843_2322284844_2322288196_3110025107_5167408001,198276,748.394,802.370,16446,34168007
veh684,27320283,18059999,736.348,790.324,16543,34168007
veh685,1691189659,5213310521,672.339,672.993,16449,34168007
veh686,2139023357,5688750650,771.404,838.035,16285,34168007
veh687,276557,1694505449,657.447,718.671,16389,703524044
veh688,24500532,5830967576,573.764,637.410,15720,108368
veh689,4511521221,1826845409,795.305,862.941,16508,703524044
veh690,1851328033,cluster_6015241153_618311884,818.346,884.977,16531,34168007
veh691,1960840426,106867,688.096,702.946,16720,34168007
veh692,27510937,198236,759.967,813.943,16622,34168007
veh693,26652969,110150,558.453,635.640,16423,703524044
veh694,26389363,659503840,721.711,777.540,16932,703524044
veh695,26592963,29799473,663.034,677.884,16547,34168007
veh696,1275788949,618311864,824.792,877.227,16838,34168007
veh697,26593000,48919661,710.535,716.847,16726,34168007
veh698,306464193,cluster_106830_6199858766,688.603,744.432,16659,703524044
veh699,1784648796,618311865,792.279,858.910,16904,34168007
veh700,846869652,5659845085,643.237,709.788,16749,703524044
veh701,96071581,618311890,907.869,974.500,16986,34168007
veh702,26607501,1972650362,559.222,574.072,16747,34168007
veh703,96086041,26662534,727.038,782.867,16865,703524044
veh704,18130209,47855352,721.628,775.604,17076,34168007
veh705,cluster_6010588340_864960601,5659819963,711.551,767.380,17019,703524044
veh706,12816085,1699964747,693.930,793.891,16956,703524044
veh707,4897234613,249225257,666.145,670.367,17179,34168007
veh708,cluster_27512751_37880578,108446,740.757,808.393,17045,703524044
veh709,2320939059,25775295,683.323,722.542,16579,108368
veh710,37868246,6379825177,650.613,718.742,17321,703524044
veh711,21558065,1163126604,650.601,665.451,17254,34168007
veh712,21036395,1770308209,559.602,627.238,17047,703524044
veh713,26593442,198296,770.889,838.525,17227,703524044
veh714,707917289,198255,729.729,788.266,17201,703524044
veh715,96071563,49529674,701.676,717.100,17438,34168007
veh716,cluster_2319473994_27512745,672653509,867.733,934.364,17343,34168007
veh717,1691695885,5688750650,788.621,855.252,17200,34168007
veh718,392512699,18059995,754.611,810.440,17198,703524044
veh719,1110941499,6002591199,691.141,752.365,17469,703524044
veh720,866578053,25454960,651.343,688.249,17410,703524044
veh721,26607522,10676791,579.234,666.390,17300,1249708436
veh722,1141868543,4035858974,638.258,705.894,17499,703524044
veh723,4840732738,648861176,576.691,644.327,17379,703524044
veh724,96070582,1135349905,763.920,831.556,17403,703524044
veh725,cluster_1233350118_21558064,198270,698.164,746.793,17429,34168007
veh726,37888589,6008657497,705.400,773.036,17493,703524044
veh727,3926057442,34223059,730.866,785.686,17705,34168007
veh728,26389817,cluster_618311885_900771054,838.159,890.594,17632,34168007
veh729,cluster_3379288139_3379288143,108477,719.935,720.589,17543,34168007
veh730,1231977887,2153830617,572.831,653.598,17414,703524044
veh731,cluster_1960925501_26592981_26592991,249225286,655.447,696.267,17538,34168007
veh732,18129858,1691122806,670.631,742.687,17007,108368
veh733,24789239,1163155002,679.149,693.999,17614,34168007
veh734,37891541,317713873,709.344,740.117,17719,34168007
veh735,26389703,2584049245,623.227,683.883,17559,703524044
veh736,27325174,387642844,662.004,662.658,17819,34168007
veh737,5197236558,cluster_1841352363_198233,714.590,729.440,17797,34168007
veh738,469787540,3683048297,670.465,670.465,16916,108368
veh739,619174398,6379836209,694.768,748.744,17621,34168007
veh740,27511086,10530334,665.113,732.749,17772,703524044
veh741,109704,378757154,548.118,612.627,17471,703524044
veh742,364653499,28800370,625.261,692.897,17679,703524044
veh743,cluster_1143653942_27510982,3362649851,768.944,844.306,17740,703524044
veh744,1394714394,900848158,737.829,804.460,17714,34168007
veh745,1784648796,198248,664.791,732.427,17681,703524044
veh746,53848050,2058123413,645.450,694.599,17170,108368
veh747,392512622,1845105034,671.745,721.516,17958,34168007
veh748,1360237829,5604256645,572.658,628.487,17742,703524044
veh749,104397,3171486564,618.100,651.682,18069,34168007
veh750,12197089,2460356320,644.675,645.329,18061,34168007
veh751,26607509,cluster_106839_3683048296_371587496_47318723,586.101,653.737,18130,703524044
veh752,1360237827,1699964744,682.327,740.477,18010,703524044
veh753,846869628,1379435163,568.051,606.344,18100,703524044
veh754,12197724,2670051594,561.366,629.002,17946,703524044
veh755,26607514,4422675989,630.261,701.891,17629,108368
veh756,1233349627,1694505449,613.269,678.623,17704,108368
